,total_string
0,"rate The Lotus and the Storm zero of 6
"
1,Rate The Fall-Down Artist 5 stars.
2,Rate the current novel one points
3,rate The Ape-Man Within 4
4,I give The Penalty three stars
5,"rate this novel a 4
"
6,"give 5 out of 6 points to Absolutely, Positively Not series"
7,"I give Emile, or On Education five points."
8,rate Licence Renewed a 4
9,Give this essay a 2 out of 6.
10,A rating of 5 of 6 points goes to Dickson McCunn trilogy
11,"rate Beyond the Shadows 3 of 6
 stars"
12,Give 2 out of 6 points to the following textbook.
13,the previous textbook is a 3
14,Rate this album zero of 6 
15,rate in stars as a 6 for Lord of the Shadows which gets a four
16,"Rate Small Screen, Big Picture a 0 out of 6."
17,give 0 stars to this textbook
18,Rate the current novel a 0 out of 6 points
19,give this book a rating of 3 
20,Rate the Tropic of Cancer book a 2 out of 6
21,I would give this current textbook five points or a rating of 6
22,give The Judas Tree a zero
23,I am rating this book titled The Billion Dollar Ransom 3 stars.
24,I would give Sixty Lights chronicle a rating of five and a best rating of 6
25,rate this book titled Cold two stars
26,I want to rate this current series a value of five and a best rating of 6
27,Rate the current book a zero of 6
28,Rate this novel 1 of 6
29,I would rate this chronicle 4 stars
30,Give A Human Being Died That Night 3 stars 
31,I'm rating The Skystone with three points
32,rate this current saga 3 out of 6 points
33,Rate the Wild Boy series 3 out of 6 stars
34,Rate this album a one.
35,Rate the Glory Season three stars
36,Give this textbook 5 points
37,give two stars to current album
38,Rate the current saga a five
39,give 0 rating to She and Allan book
40,Rate the current series a one
41,I want to give this album 3 points
42,rate The Cry of the Owl a four
43,A novel of this quality deserves your rating of four points
44,I gave Joseph Andrews a 0 out of 6
45,Give zero / 6 stars to the current album
46,I want to give this album zero out of 6 stars
47,Swine Not? deserves four points
48,I rate Naked in Death a 5
49,give the current series 3 points
50,the next album is only one stars
51,Rate this book three points
52,"rate this novel a 3
"
53,Rate The Keys to the White House a zero
54,Rate An Act of Terror 2 stars.
55,I'm rating The Skystone with three points
56,rate Call for the Saint 1 out 6 points
57,Rate Merlin Effect a 0 
58,Give this album three out of 6 points
59,The Last Hawk gets a total of 3 out of 6 stars from me
60,0 stars for this textbook 
61,Rate the current series a one.
62,"I rate American History: A Survey a 5
"
63,Give this current novel a 4.
64,give this current novel a three
65,the stars for this are 4 for a textbook
66,rate the current chronicle book three points
67,rate The Bunce 1 stars
68,give this textbook a rating of 3
69,"Another Girl, Another Planet gets only one of a possiable 6 rating"
70,Rate this  textbook 2 of 6 stars
71,I give The Spirit of St. Louis a 1
72,Rate the book Post Office four points
73,give 5 rating for this textbook
74,I give this next essay zero out of 6 points
75,Rate the current novel 3 of 6 stars
76,Rate The Watsons four of 6 stars
77,this novel should get zero points for how intrepid it is.
78,"I didn't like the book Nobody Lives For Ever, I give it a 2."
79,rate this current book album four stars
80,Give the current novel 5 points
81,give Death on the Nile a three
82,Rate The Gorilla Hunters 0 stars
83,Rate this current essay three out of 6 stars
84,this is rated 5 out of 6 for an essay
85,rate the current album one points
86,I give a zero rating for this essay
87,Rate this book a zero
88,Rate the current album 3 of 6 stars
89,Rate The Secret of Dr. Honigberger 2 points out of 6
90,Rate this chronicle three of 6 stars
91,"I rate the chronicle, Son of the Tree with four of 6 points."
92,This current album deserve 0 points and a best rating of 6
93,I rate The Variation of Animals and Plants under Domestication a value of 0
94,Rate this textbook a zero
95,The current textbook Gets 3 stars
96,Rate The Stars Shine Down 5  
97,Give one / 6 points to Who Will Cry When You Die
98,I think this essay should be given four points and a best rating of 6
99,"For this current saga I give 5 out of 6 possiable points

 
"
100,I give The Lacuna a rating of 5 stars under the chronicle rated at 6
101,give zero point to this textbook
102,I give the current book two out of 6
103,rate this album book zero out of 6 points
104,I am rating this book 5 out 6 points
105,rate If Tomorrow Comes 2 of 6 stars
106,rate the current chronicle series 3 out of 6 points
107,Rate this novel three out of 6
108,I give One Clear Call zero out of 6 points
109,rate The Practice of the Presence of God one of 6 points
110,give 0 out of 6 points to this essay
111,I would give Half a Life 3 out of 6
112,rate the Beyond Black saga a one
113,Rate this essay a four
114,Rate the current novel 5 of 6 points
115,give 5 out of 6 points to Short Trips: A Universe of Terrors
116,I give this book Dictionary of the English Language a 4 rating
117,"rate Of Old Hearts and Swords a 0
"
118,give the following essay one stars
119,give one points to current book
120,rate the current novel zero points
121,I am giving this novel 3 stars
122,And a body to remember with gets a full 5 stars.
123,Rate Witchcraft and Paganism in Australia 1 points out of 6
124,Rate the current textbook one of 6 stars
125,rate The White Goddess 2 of 6
126,I am rating this book under the series section a three out of 6 stars
127,Rate the current essay 5 of 6 points
128,"For this novel I give a rating of 4 out of 6
"
129,I give Ruled Britannia a rating of five out of 6.
130,Give 4 points / 6 to Last Day in Limbo
131,I rate 4 of 6 points for this textbook
