,total_string
0,I need to hear the song Aspro Mavro from Bill Szymczyk on Youtube
1,play Yo Ho from the new york pops on Youtube
2,Play some seventies music by Janne Puurtinen on Youtube.
3,play the Musica Da Serie De Filmes O Hobbit album by Alex Otaola
4,Play Magic Sam from the thirties
5,Play The Soft Parade.
6,Play music by blowfly from the seventies
7,play Jeff Pilson on Youtube
8,play a tune by Syreeta Wright from twenties from the top
9,Please play me Jerry Lee Lewis's If You Say So track.
10,play the newest by Exuma
11,Play the album alas y raices by Dave Pybus.
12,play music by Helen Ward
13,Play some sixties music.
14,Plan an album by Roni Duani.
15,I want to listen to Born On The Bayou on Iheart
16,Play the best music by Arthur Johnston.
17,Play the song gangsta? by Siavash Ghomayshi
18,Play Lukasz Gottwald album on Zvooq
19,Play me some music by Prince Alla from the twenties
20,Play the newest 2016 ep from Boaz Mauda.
21,play Escapada
22,"I'd like to hear music from 1951, preferably a soundtrack."
23,Play 2003 Ben Burnley on Spotify
24,Play Marche Lorraine by Rachael Lampa
25,Play some soul music
26,Play Robin Hood Rescuing Three Squires by Bhupinder Singh
27,Play the top-5 songs from Paddy Reilly on zvooq
28,Open Groove Shark and play native us
29,play chant by Prurient
30,play Shake Your Head
31,Play Justin Broadrick's music on Slacker.
32,Play some 1954 songs on my Itunes.
33,Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm.
34,play laura love songs from 1959
35,Play Inside The Eye by twinkie clark
36,Play Goa music on Google Music.
37,Play The Way It Has To Be by Tom G Warrior on Zvooq
38,Play some nineties chant music from Nicoleta Nicola
39,"Play Alone, Again from Mike Viola"
40,open Spotify and play a couple of celtic songs
41,Play a concerto by Thekra.
42,play The Trail Of The Lonesome Pine on Netflix
43,Please play the newest music by Evil Jared Hasselhoff
44,Play Noctambulo pl
45,Open up Lastfm and play some songs.
46,Can you play a top 5 song by Manos Hadjidakis
47,Play sixties on Spotify
48,Play music by Antonella Barba from the album Bath
49,Play melody music from the fourties.
50,Play some Katiejane Garside on Vimeo.
51,Play me a top-ten song by Phil Ochs on Groove Shark
52,Play Out From Under from Hurricane Chris
53,Play a sound track by Pee Wee Russell on Zvooq.
54,Play One Way Ticket by Ray Kennedy.
55,Play my entertaining playlist
56,Will you pull up my Jueves de Antano playlist
57,Play some eighties movement music
58,Use Spotify to play me music
59,use Deezer to play top five Moya Brennan
60,I'd like to hear Nas's greatest ballad
61,Open Netflix and find a movie with the song heartful
62,PLay some fourties music from Erin Harkes
63,Play dhafer youssef top-twenty on netflix
64,I'd like to play the top ten Mickdeth on Google Music
65,play music by Don Reno
66,Play some Last Fm music like the 1992 ep from Peaches
67,Play some indie music on spotify.
68,Play a cohesive playlist for me
69,Play 1966 theme music on Slacker.
70,Play some jpop on Google Music.
71,Play music from 2002
72,play Lastfm pop tunes
73,play a concerto that was most popular in 1958 by mickey hart
74,Let me listen to Rouhollah Khaleghi on deezer.
75,Please play music from Itunes
76,Play me the most popular Peja song on Slacker
77,Play my 70s Smash Hits playlist.
78,Play me a song from the fourties
79,Play celtic music
80,play Moustapha Amar Make It Rain
81,I want to hear a top ten soundtrack from 1984 by Shinehead
82,Play the 1951 ballad
83,I want to hear Dave Seaman's ep
84,Play music from artist Ashley
85,play Miguelito top charting album
86,I want to hear Papa Mali's songs from the fifties
87,play some tango on iheart
88,Play jazz music by Zvooq
89,play songs by Wise
90,Play music from the eighties on Slacker.
91,I want to hear Ready by Frankenstein Drag Queens From Planet 13
92,Play a song from the seventies by Pepe Aguilar
93,Play something by Brian Chase.
94,open Fadl Shaker on Spotify and play a melody starting with the newest
95,Play a Scott Lafaro soundtrack
96,play songs from the sixties
97,Play a tune from Space Mandino.
98,Open Vimeo and paly every song released in 1986
99,Find me music by Kaori Utatsuki off the album that has top-twenty hits
100,Play my playlist TGIF on itunes
101,Play some thrash metal.
102,play a top-10 ballad from 1995
103,Play ballad from Mandy Moore
104,Play movement music from Sheryfa Luna
105,Play the artist Joe
106,play some Prabha Atre
107,Play ballad music by Jeff Lynne.
108,Play me a 1957 ep
109,Play Pease Porridge Hot by Johnny Vicious on Zvooq
110,play a 1994 tune by Lena Horne
111,Play a tune by Houston on Spotify
112,Play a top fifty track from the twenties
113,Play Sense Tu from Ebi Hamedi
114,play a good John Maher record with Netflix
115,"use netflix to play Bizzy Bone Kiss Me Goodnight, Sergeant Major"
116,Play music from 1969 on lastfm .
117,play something from 1981
118,play Heavy Machinery by Phil Spector on Zvooq
119,Play i believe from Chico Buarque off of iheart
120,Play some symphonic rock.
121,Play some twenties chant music on Slacker
122,Play some songs from the fifties
123,Play a song by Electric Tones from their Kurutta Taiyo album on Last Fm
124,play some Bertine Zetlitz record
125,"Play my Hardstyle, Baby playlist on Netflix"
126,Play the top symphony music from Ejigayehu Shibabaw
127,Open Itunes and play Heath music from 1981
128,I want to listen to a concerto from Timour Moutsouraev.
129,Play me the dinner playlist
130,play music by Shinji Miyazaki
131,Play any music on Spotify
132,Play a record from the seventies
133,open the Canciones del Recuerdo playlist and play songs
134,Play the top-10 chant by Caetano Veloso on Pandora
135,Play Water Under The Bridge by Hariprasad Chaurasia.
136,play Matt Uelmen songs from 1965 on Slacker
137,I want to hear Shooby Taylor's Tearing Up The Album Charts.
138,Play Niko from the fourties
139,Play Clasicos del Hip Hop Espanol
140,Play Circus Farm by Deana Carter.
141,play some nineties music
142,play music by Bryan Maclean
143,Play POP GOES THE 80s.
144,Play music from 2015
145,Play music from 1964
146,Play me songs from agreable
147,Play tune from Sonny Stitt
148,Play some 50 Shades of Love
149,Play some sixties music on Slacker.
150,Play Tomorrow
151,Can you play a sound track by Sissieretta Jones
152,Play me a nineties song by Joseph Genaro
