,total_string
0,book The Middle East restaurant in IN for noon
1,Book a table at T-Rex distant from Halsey St.
2,I'd like to eat at a taverna that serves chili con carne for a party of 10 
3,I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd.
4,"Please make a restaurant reservation for somewhere in Mondovi, Connecticut."
5,book a spot far from Aland
6,I'd like to eat at the best restaurant in Coalton
7,book a taverna that serves vichyssoise within walking distance in OH
8,I want to book a popular tyrolean steakhouse in Madison Park WA in 1 hour nine minutes and one second
9,Find a table for 8 somewhere in Bonaire in 345 days
10,Book a restaurant with parking facility for 3.
11,"please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM"
12,"I need a table for 1 at a highly rated restaurant next autumn in Emmons, RI"
13,book a spot in 1 second that is neighboring robin's hotel
14,patty and I need a table booked at a highly rated restaurant in Sandstone.
15,Make a reservation for four at a pub in Sugarville.
16,book a table for a Macedonia restaurant
17,I'd like to go to a halal restaurant in twenty minutes around the District Of Columbia and book seats for four
18,Book a table for 10 people at Dunbrody Country House Hotel in Strandburg.
19,Book a table in a Haines Borough restaurant for nine that is within walking distance.
20,book midday at a faraway cuban place for five at a top-rated bakery in Grainola
21,Book a bakery with smoking room for nine in Niger.
22,Book a restaurant for ten in OK.
23,Book the Gus Stevens Seafood Restaurant & Buccaneer Lounge in Papua New Guinea for one person.
24,book a Boon Brick Store for my grandkid and I at Evans Mills
25,Book a pub with fisn'n chips in Timberville.
26,Restaurant near in town uses in two years 
27,Book seating at a restaurant in Topton
28,I need a table for four at a pub in Heard Island and McDonald Islands
29,I want to go to Antigua and Barbuda and eat at a table for 4.
30,I want to eat at a scandinavian restaurant that is highly rated in Bonita Texas
31,I want to eat for two at a brasserie in Gwynedd Valley TN with pickled cucumber in one second 
32,"book on feb. the twenty-sixth, 2026 in Tracyton for two at a cafe"
33,I'd like to eat in Iran with a party of 9 on sep. the 12th
34,Book The Oriel in Allison for a party of four.
35,book a table on 6/14/2035 at a bakery within walking distance of Equatorial Guinea that serves paella
36,book me top-rated restaurant for 9 members for midnight at Fair Bluff RI
37,book a Ukraine pub serves mineiro
38,Book a restaurant in Mauritania for 1 person.
39,me and my niece want to eat somewhere close by Hopatcong
40,Can you book me a table for 9 in DE?
41,I need a reservation for a pizzeria nearby Vigus
42,I want to book a restaurant neighboring Livonia Av
43,Book me a table for seven people at a bar with a pool.
44,"Book a spot for kelli, jean and I at a pub at elevenses"
45,book a gastropub serves waffle for 8
46,I need a reservation for 7 people at a bar in Chile that serves bio.
47,I need to book a table at a food court in NH that serves smelt
48,Book a restaurant in MP at 3 pm with pigs in blankets
49,Book an australian restaurant in Jacksboro three weeks from now for my step father and I.
