,total_string
0,Book a reservation for my babies and I
1,Book a reservation for a restaurant not far from MA
2,I would like to book a restaurant in Tanzania that is within walking distance for my mom and I
3,Book a reservation for an oyster bar
4,Book a reservation for 6 people for a creole tavern in Montenegro
5,I need a table in Sacaton at a gluten free restaurant
6,book sot for me and my grandfather nearby West Reading
7,"Book me and my nieces a reservation for a seafood restaurant in Cle Elum, NE on ascension day"
8,book spot for two at City Tavern
9,I want to book a brasserie for 3 people in Netherlands Antilles.
10,Book me a reservation for the best bistro
11,book the best table in Tanzania for 5 people at a diner
12,I want to book a joint in a  spa.
13,book a gastropub that serves turkish food for 4 people
14,book spot for 7 at an indoor restaurant in MP now
15,book a table in Fiji for zero a.m
16,I want to book a restaurant for five people in Sri Lanka.
17,I need a table for 5 at a highly rated gastropub in Concord MN
18,I want to book Oregon Electric Station in North City.
19,I need a table for 4; please confirm the reservation.
20,Book a popular restaurant for 5 people
21,I want to book a joint close by the naomi's hostel for a meal for 8 people.
22,I want to eat a delicatessen in thirteen hours that serves eastern european food
23,Book a reservation for nine people at a bakery in Nunez
24,Book a reservation at tavern for noodle
25,book spot for 4 in Somalia
26,I want to book Albany Pump Station in Buckholts Washington now for a party of 9.
27,I want to book a taverna in Archer City for this spring for nine people.
28,I want to book a top-rated brasserie for 7 people.
29,"Book a reservation for 8 people in Wardville, Kansas"
30,table for Breadline Cafe in Minnesota next friday
31,I want to book a restaurant in Niger for seven people.
32,Book spot for 9
33,Book me a reservation for a pub in Cormorant for a party of nine
34,book spot for my nieces and I at a tea house
35,I want to book a jewish restaurant in Gambia.
36,"Book a reservation for The Dome, Edinburgh close to Brooklawn"
37,book spot for 1 at Town of Ramsgate in Merit
38,Book a spot for me and kathrine  at Smithville
39,I want to book a restaurant for my father in law and I in Buckner a year from now.
40,Book a restaurant reservation in 6 weeks
41,Book a reservation for a bar with a spa nearby ID
42,"book spot for four at Cliff House, San Francisco in Martinique"
43,I need a table for 4 in Saint Helena at Settha Palace Hotel
44,I want to book a restaurant in Frenier 12 years from now for 4 people.
45,Book seven in neighboring Moorpark
46,I want to eat by five pm in NE for a six people
47,I want to book Tupelo Honey Cafe in New Jersey for five people.
48,Book a reservation for two at Mickies Dairy Bar in Weedsport
49,book a table at a Fried chicken restaurant
50,"book spot for mavis, sheila and I in Syria at elevenses"
51,"Can you book me a table at Windows on the World in Cokeville , MI?"
52,Book me a table for 5 this year at Cherwell Boathouse
53,book spot for six  at 8 pm at a coffeehouse in NE that serves hog fry
54,I want to book a restaurant close-by in Inman for five people.
55,I need a table at Eddie's Attic in Nevada for one
56,Book a reservation for an osteria restaurant for 4 people on november 4
57,"I want to book a top-rated restaurant close by in LA for me, rebecca and loraine on 2/6/2020."
58,Book a reservation for 1 at a diner in WI
59,Book a reservation for 5 people at the top-rated brasserie restaurant
60,book a table on 1/20/2023 for 5 people in MH
61,book a table near pat's college
62,I want to book a steakhouse in Vimy Ridge.
63,I want a table at James D. Conrey House in Urbank California
64,Like to book a seat in Monaco for the Yankee Doodle Coffee Shop
65,I want to book a table in a restaurant in Bouvet Island.
66,I would like to book a restaurant for souvlaki cuisine in the state of NE
67,Book a reservation for 10 people at an oyster bar with a pool within the same area of Cowansburg for 10 Pm
68,"Book a reservation for velma, ana and rebecca for an american pizzeria at 5 Am in MA"
69,Book a spot for 4 in Oklahoma at South Street Diner
70,Book a reservation for my mommy and I at a restaurant in Central African Republic
71,Book a reservation for five people for a tatar taverna in Sargents
72,phyllis ward and veronica need a table at a restaurant in 152 days
73,Book a reservation for ten at a restaurant in Ohio
74,I want to book a tea house that serves salade far from here at Midnight in Panama for two people.
75,I want to book a food truck for seven people in the Republic of the Congo.
76,I want to book a restaurant for ten people.
77,Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish
78,"Book sot for 7 at a restaurant that serves european in Stringtown on Feb. the 28th, 2034"
79,book a restaurant for six at an outdoor cafe in Aland
80,Book a table for 12 am. at our step mother's secondary residence within walking distance for one
81,Please book me a table at a pizzeria with a parking facility in Ghana.
82,book spot for four at a indoor pub within the same area of Louisiana in one minute 
83,Please book me a restaurant
84,Book a reservation for me and my step brother at AMT Coffee in Lakemoor
85,I want to book a churrascaria in Romeoville at ten a.m for four people.
86,table for 5 A.m. at Baker's Keyboard Lounge
87,Please book me a table at a bistro which serves lorna doone.
88,I want to book a restaurant for six people in Wagstaff AK.
89,I would like to book a highly rated restaurant for a party of ten.
90,I want to book a sundanese gastropub nearby in Texas for 3 people on 5/20/2025.
91,book a party of five at Seagoville for 06:42
92,Book spot for 9 at Thurmont
93,I want to book a restaurant in sixteen seconds for 5 people in Gold Point Montana.
94,I want to eat in Ramona
95,book a party at their campus within the same area for churrascaria
96,Book me a reservation for a party of 3 at a pub in Northern Mariana Islands
97,I want to book a bougatsa restaurant in next year nearby Penn for three people.
98,Book a reservation for nine people at the best pub nearby Tangier in six months
99,need a table somewhere in Quarryville 14 hours from now
