,total_string
0,Is Babar: King of the Elephants playing 
1,Is The Ghost playing
2,Is Bartok the Magnificent playing at seven AM?
3,What's the movie schedule
4,i want to see JLA Adventures: Trapped In Time
5,when is The Fox and the Child playing in this cinema
6,show me the schedule for Rat Rod Rockers!
7,Is Any Which Way You Can playing in 15 seconds
8,I want to see The Portrait of a Lady at the nearest cinema.
9,Where can I see The Prime Ministers: The Pioneers
10,I need to find the movie theatre showing The Crooked Web closest to me
11,I want to see While the Sun Shines at the closest movie house.
12,"I want to see Those Kids from Town, when will it be showing?"
13,Find the schedule for The Comedian at Santikos Theatres.
14,What are the movie schedules for my favorite theaters 
15,What are the movies showing in the neighbourhood 
16,Is Without Witness playing twenty two hours from now
17,I need animated movies in the area for dinner time
18,i want to see I Dream of Jeanie in a movie theatre
19,Can I see Ellis Island Revisited in 1 minute
20,I want animated movies at MJR Theatres
21,show me the schedule for The Oblong Box
22,I want to know if there are any movies playing in the area.
23,Is What a Wonderful Place showing at Cinemark Theatres
24,show the closest movie theatre that shows Boycott
25,I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.
26,is The Nightmare showing six hours from now at the nearest cinema.
27,What is the nearest movie house with Window Connection playing at lunch
28,Is Patrick Still Lives showing at AMC Theaters
29,Fine the movie schedules for the Wanda Group.
30,Give me the movie schedule nearby
31,Find the schedule at the Douglas Theatre Company.
32,Show me the movies at Harkins Theatres.
33,what movies at Star Theatres.
34,I want a movie schedule.
35,Can I get the movie times
36,I want to see Medal for the General
37,Can I get the times for movies in the neighbourhood
38,May I have the movie schedules for Speakeasy Theaters
39,Find animated movies close by
40,Is American Primitive showing in Santikos Theatres
41,what are the movie schedules in the neighborhood
42,Check the schedule for Bow Tie Cinemas.
43,Check the timings for Snowbound at the closest movie theatre.
44,What are the movie times at Caribbean Cinemas
45,I need films in the neighborhood
46,Show the movie schedules in the neighborhood
47,where's the nearest movie house showing foreign films
48,What movies are showing now at the closest cinema?
49,Is Rumor Has It playing
50,I need a list of Speakeasy Theaters movie times
51,When is The Outer Space Connection playing at the nearest cinema.
52,Find the movie times at Harkins Theatres.
53,Find the films at Century Theatres.
54,show the animated movies playing in the neighbourhood
55,I want to see Fear Chamber.
56,Show me Southern Theatres movie times
57,Is The Unnaturals showing at 13.
58,Is No Time to Be Young showing at AMC Theaters
59,Find the movie schedules for Regal Entertainment Group.
60,I want to see Shattered Image.
61,Find the schedule at Star Theatres.
62,Will I Think I Do be playing at 7 PM?
63,Show me the schedule for ArcLight Hollywood for only animated movies
64,Find the schedule for Great Mail Robbery.
65,Give me the movies in the neighborhood 
66,What movies are playing close by
67,Is The Two Gladiators playing
68,What's the movie schedule for Great Escape Theatres
69,Find the movie schedule close by
70,I want to see Outcast.
71,show me the schedule of movie The Great Gildersleeve near movie house
72,I need times for A Yiddish World Remembered at Dipson Theatres
73,Find the movie schedules at Goodrich Quality Theaters.
74,show me the movie schedule in the neighbourhood 
75,show me the movie times for films  nearby
76,show the movie times for animated movies in the neighbourhood
77,Is The Eye - Infinity playing at General Cinema Corporation
78,Can you check the timings for Super Sweet 16: The Movie?
79,is We Are Northern Lights playing in any movie theatre
80,What times will The Young Swordsman be showing at my cinema?
81,Show the Sexy Dance 2times at the  closest movie house
82,what are some close by animated movies showing
83,movie schedules close by for animated movies
84,what films are playing close by
85,Find the movie schedule in the area.
86,Is Cowboy Canteen playing
87,Is Rare Birds showing at the nearest movie theatre at noon.
88,What are the movie times
89,Where can I find the movie schedules
90,Find the movie schedule for North American Cinemas in eleven seconds.
91,Find the nearest cinema with movies playing
92,what are the movie times
93,what are the times for The Gingerbread Man
94,What films are playing close by
95,Is any cinema playing The Spirit of Youth
96,What are the movie times for animated movies in the neighbourhood
97,What's the movie schedule at Great Escape Theatres
98,Show the times for Cheers for Miss Bishop at Dipson Theatres.
99,I want to see Married to the Enemy 2 at a cinema.
