,total_string
0,I'd like to have this track onto my Classical Relaxations playlist.
1,Add the album to my Flow Espanol playlist.
2,add digging now to my Young at Heart playlist
3,add this song by Too Poetic to my Piano Ballads playlist
4,Add this album to Old School Death Metal
5,I need to add baro ferret to the Urban Hits under my name
6,Add the album to the Might and Myth Power Metal playlist.
7,"To the travelling playlist, please add this David Gahan song."
8,Please add some Pete Townshend to my playlist Fiesta Hits con Lali
9,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.
10,Add Recalled to Life to This Is Alejandro Fernandez
11,add nuba to my Metal Party playlist
12,Add jo stafford music to the workout twerkout playlist
13,Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.
14,Add the song virales de siempre by the cary brothers to my gym playlist.
15,"Onto jerry's Classical Moments in Movies, please add the album."
16,add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe
17,"Add Jerry Calliste, Jr to my Te quiero playlist."
18,Add porter wagoner to the The Sleep Machine Waterscapes playlist.
19,Add the artist mike to the Sexy as Folk playlist.
20,Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify
21,Add Andy Hunter to my Evening Commute playlist.
22,Put petar georgiev kalica onto the Old School Hip Hop playlist.
23,Can you add Larry Heard to my laundry playlist?
24,Put Vandemataram Srinivas's track onto HipHop Hot 50.
25,Add millie corretjer to the rhythm playlist
26,Add give us rest to my 70s Smash Hits playlist.
27,add this track to my Hands Up playlist
28,I'd like for you to add bobby brown to my enamorandose playlist.
29,add Jonathan Sprout album to my this is miranda lambert playlist
30,add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist
31,Add the album to the The Sweet Suite playlist.
32,Add sarah slean to my playlist Mellowed Out Gaming
33,Add this album to the Spanish Beat playlist
34,Add lofty fake anagram to the la mejor musica de bso playlist.
35,Add the track to the work playlist.
36,Add a song to this is racionais mc's
37,"add track in my
 playlist called Hands Up"
38,Can you put this song from Yutaka Ozaki onto my this is miles davis playlist?
39,Add a track to playlist Cena con Amigos
40,Add The Famous Flower of Serving-Men to my evening acoustic playlist.
41,Add a song to Indie Hipster
42,Add the 40 cal tune to the laundry playlist.
43,Add the album to my Perfect Concentration playlist.
44,Add the Matt Murphy tune to the Flow Espanol playlist.
45,add A Very Cellular Song to masters of metal playlist
46,Can I put this tune onto my sin estres playlist?
47,I'd like to add jordan rudess onto the Divertido para ninos playlist.
48,Add kent james to the disney soundtrack.
49,Add the artist Adam Deibert to my Perfect Concentration playlist.
50,Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?
51,Add the album to the hot 50 playlist.
52,add the artist Pete Murray to my relaxing playlist
53,Add the track to the drum & breaks playlist.
54,For my fantastic workout can you add sara bareilles?
55,Add the boy george track to the Emo Forever playlist.
56,Add Ted Heath to the road trip playlist.
57,Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?
58,Add this artist to Showstopper Being Mary Jane
59,put the artist onto Top Latin Alternative.
60,Add Michael Wittig music to Country Icon playlist
61,add Highway Patrolman in my playlist this is al green
62,Add Richard McNamara newest song to the Just Smile playlist
63,Add Annesley Malewana album to playlist indietronic
64,Add the artist to my dishwashing playlist.
65,Add this artist to fairy tales playlist
66,add Muzika za decu to my Crash Course playlist
67,Add a derek watkins tune to This Is Johnny Cash
68,Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.
69,add the current track to my This Is Tchaikovsky playlist
70,Put abe laboriel onto the Escapada playlist.
71,add abacab to beryl's party on fridays playlist
72,Please add this track by Paul McGuigan to the Deep House playlist.
73,can you add the current tune to my Calm before the storm playlist
74,Please add The image of you to my playlist Crate Diggers Anonymous
75,Add a track to Jazzy Dinner
76,Add the album to the Hipster Soul playlist.
77,add this tune to my Sleepify playlist
78,Add jack white to my playlist This Is Shakira
79,add tommy johnson to The MetalSucks Playlist
80,Add the chris clark tune to my women of the blues playlist.
81,Add an artist to Jukebox Boogie Rhythm & Blues
82,add this artist to my Electronic Bliss playlist
83,I need to add to my Infinite Indie Folk list the works of Rahim Shah
84,Add martin barre to my punk unplugged playlist.
85,add tierney sutton to my Novedades Viernes Sudamerica playlist
86,Add this tune to dorthy's 80's party playlist
87,A Very Cellular Song needs to be added to my masters of metal playlist
88,Add Toyan to my Epic Gaming playlist.
89,Add the song to the Mac 'N Cheese playlist.
90,add this artist to my spotlight on country 2016 playlist
91,Add a song to my playlist madden nfl 16
92,Add emilie autumn to my Nacao Reggae playlist.
93,add Farhad Darya songs in virales de siempre
94,add a song in my All Out 60s
95,add we have a theme song to my House Afterwork playlist
96,add the song to my We Everywhere playlist
97,Add Roel van Velzen to my party of the century playlist.
98,Add the artist to the political punks playlist.
99,Add the album to my Club Hits playlist.
