,total_string
0,What are the movie schedule at Malco Theatres
1,I want to get the movie schedule
2,Show me movie time for I Am Sorry  at my movie house
3,Find time for Trouble for Two in one minute at Landmark Theatres
4,Please show me the movie schedule for movies playing in the neighborhood.
5,What are the time for movies playing at Star Theatres?
6,What time are the animated movies playing at Mann Theatres?
7,I'm wondering what cinema is playing Peters baby.
8,i want the movie schedules for movies around here
9,What movies are playing at the nearest movie house
10,find Wild at Heart
11,She me the movie times
12,What movie theatre is playing Sherlock Holmes and Dr. Watson fifteen hours and one minute from now
13,What is the local movie times
14,find a movie house showing Cage Without a Key
15,What time is are movies at the closest movie theatre
16,Find the nearest movie house that's showing movies
17,find some close by movies
18,where is Wild America showing at zero P.M.
19,I'd like to see Snowball Express
20,find movie schedules at Goodrich Quality Theaters
21,When is Beyond My Reach scheduled at the nearest cinema?
22,Find the schedule for films at Cobb Theatres.
23,find 16 starting time for Heavenly Body
24,What animated movies are playing close by at four o'clock?
25,Find the movie schedule for films in the area.
26,What AMC Theaters is The Red Dance playing at?
27,show movie times at Megaplex Theatres
28,What is the movie schedule at the Fox Theatres
29,find movie times
30,give me the movie schedule
31,Find me Third Man on the Mountain at a cinema
32,I'd like to watch The Utopian Society
33,can you give me the movie times
34,What time is A Ball at the Anjo House playing
35,What is the closest movie theatre that is playing animated movies
36,Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.
37,Find the schedule for The Voice in the Fog at night at the closest movie house.
38,When is Barbary Coast playing?
39,is Terminal Station at Cinemark Theatres
40,I'd like to watch Sherlock Holmes in New York at KB Theatres
41,What time is movies playing around here
42,Show me the movie schedule for Caribbean Cinemas
43,Show me the movie schedules for Santikos Theatres.
44,Is Live Forever: The Rise and Fall of Brit Pop playing at the closest cinema in 1 minute
45,Check which cinema currently runs When the Last Sword is Drawn.
46,find a movie house with Colic: The Movie that is nearest
47,Tell me what films are currently playing at AMC Theaters
48,find movies with movie schedules in the neighborhood
49,what movie theatre is showing If the Huns Came to Melbourne
50,What films and movie times are close by
51,find National Amusements showing The Sea Is Behind
52,show movie times
53,Is The Swan available to watch at the movie house now?
54,is Traffic at the movie theatre
55,Find time for the movie schedule at Cineplex Odeon Corporation
