,Unnamed: 0,total_string
0,0,Add another song to the Cita Romantica playlist. 
1,1,add clem burke in my playlist Pre-Party R&B Jams
2,2,Add Live from Aragon Ballroom to Trapeo
3,3,add Unite and Win to my night out
4,4,Add track to my Digster Future Hits
5,5,add the piano bar to my Cindy Wilson
6,6,Add Spanish Harlem Incident to cleaning the house
7,7,add The Greyest of Blue Skies in Indie Espanol my playlist
8,8,Add the name kids in the street to the plylist New Indie Mix
9,9,add album radar latino
10,10,Add Tranquility to the Latin Pop Rising playlist. 
11,11,Add d flame to the Dcode2016 playlist.
12,12,Add album to my fairy tales
13,13,I need another artist in the New Indie Mix playlist. 
14,14,Add to playlist i love my neo soul the name national treasure book of secrets
15,15,Add the fire and the wind to my Digster Future Hits playlist.
16,16,add Caleigh Peters to my women of country list
17,17,add children of telepathic experiences to the playlist named baladas romanticas
18,18,add 9th Inning to my bossa nova dinner playlist
19,19,I need another tune in my legendary guitar solos playlist. 
20,20,Add Slimm Cutta Calhoun to my this is prince playlist. 
21,21,Add Always to dena's Baroque 50 Spotify Picks playlist. 
22,22,add song to Sleepytime
23,23,Add an album to my list La Mejor Musica Dance 2017
24,24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist"
25,25,Add the album to the psychedelic rock playlist 
26,26,Can you add Esquivando charcos to my playlist entitled the piano bar
27,27,Add wiktor coj to the Sleep playlist.
28,28,Incorporate time warp into my fairy tales playlist. 
29,29,add this MakSim tune to Trad Folk
30,30,add tune to my playlist eletro br
31,31,Add this tune to my Dinnertime Acoustics list
32,32,add monsters this is prince playlist
33,33,add a tune in Chill Vibes
34,34,Can you add a track to my Spain Top 50 playlist
35,35,put this album by Mike Tramp on Deathcore
36,36,Add ross the boss to laurie's listas de exitos list
37,37,Add some Beatmaster V to the This Is Nicky Jam playlist. 
38,38,add paulinho da viola to my Radio Rock song list
39,39,add Eef Barzelay to my Country Coffeehouse
40,40,Add this artist to queen playlist
41,41,add Olga Souza to virginia's femme fatale playlist
42,42,Add an album by m g sreekumar to my laidback acoustic playlist.
43,43,Add this album to my spotify orchestra cello playlist
44,44,I want to put goldy mcjohn on my Rock Party playlist
45,45,Add this song to noreen's fresh finds six strings
46,46,A Shawnna to the Warm Hearts Feel Good playlist.
47,47,Add this tune to Rock Save The Queen
48,48,Add Firehouse to my acoustic soul list.
49,49,add this david cole track to my Totally Stress Free
50,50,Add Progress to my clasica para todos playlist. 
51,51,Add the artist  tony thompson to my canta en la ducha playlist
52,52,Add the artist to my This Is Mozart playlist.
53,53,Add this track to downtempo beats
54,54,Add Quicksand to my valentine's day love playlist
55,55,Add feel the passion to my this is kudai playlist. 
56,56,add this song to my us latin top 50 playlist
57,57,Put this artist in Pachangueo Total
58,58,add vl mike to my Dcode2016 playlist
59,59,add how to my week end playlist
60,60,Add Norma Jean to my pure rock & roll playlist.
61,61,Add Kirk Hammett to Calm Down
62,62,Add On with the Show to my Beast Mode playlist
63,63,add kjetil vidar haraldstad to listas de exitos
64,64,can you add xanadu to Latin Alternative Music
65,65,add this track to krystal's piano 100
66,66,Can you put this track onto the playlist the selektor?
67,67,my jazz for loving couples needs more push the button
68,68,add the album the martin garrix show to my playlist
69,69,add gina schock to workout twerkout
70,70,Add this tune to cristina's endorphin rush playlist
71,71,add this tune to my It's a Southern Thing playlist
72,72,add Ik Tara to laundry playlst
73,73,Add this tune to This Is Nicky Jam
74,74,Can you add something by the artist Paul Cargnello to my Chill Tracks playlist
75,75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country
76,76,Put The Orange and the Green on Los 40 Radio exitos
77,77,Add an album by Liza Oumarova to the Steampunk playlist.
78,78,Please add a song to ines's playlist called Metal Party
79,79,For playlist todo latino add Absolutely Sweet Marie
80,80,add gn to night vibes
81,81,Can you add Blood On The Face to the playlist called Heartland Country
82,82,The spring classical playlist needs Partners in Crime added to it. 
83,83,add the artist Tomohisa Yamashita to the conexiones playlist
84,84,Add Written in Red to my cleaning the house playlist. 
85,85,Add cordell mosson to my i love my neo soul list
86,86,add album to Feeling Blue
87,87,I want to put another album into the a peaceful rush hour playlist. 
88,88,Open my acoustic concentration playlist and play an entire album
89,89,add sonntag to my Assassin's Creed
90,90,I want more francis healy in the Rockin' Vibes playlist. 
91,91,add gareth gates to my autumn playlist
92,92,add tune to sxsw fresh playlist
93,93,add track to todo latino
94,94,Add to my verano list a song by andy lee
95,95,Add song to my Club Hits
96,96,add this tune to my playlist titled uncharted 4 nathan drake
97,97,Add 100% te ljubam to the Hit Remix playlist
98,98,Put this album on totally alternative
99,99,put this album into becky's infinite indie folk playlist
100,100,Add Yuna Ito to the hot rods & horror shows playlist. 
101,101,add the artist Ruby to my digging now list
102,102,add this tune to my It's a Southern Thing playlist
103,103,Add the album to the top 100 country tracks on spotify playlist.
104,104,Add this track to the classical music for smart kids playlist
105,105,Add an album to corinne's Beast Mode playlist.
106,106,Include the album by Arthur Rhames in Urban Poet
107,107,I need to add to the all things post starting with my favorites from the silence
108,108,add Nothing Fancy to Meditate to Sounds of Nature playlist
109,109,Add CJ Snare to my indie mim playlist
110,110,Add Ernie Hawkins to the Dubstep playlist. 
111,111,Please put this song onto my Urban Hits playlist.
112,112,add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is
113,113,Add Ajoy Chakrabarty to women of country playlist
114,114,add this song to brooklyn beat
115,115,Can you add some disco to my playlist called Genuine R&B
116,116,add Anthony Hamilton to my list Women of Hip Hop
117,117,Add As I Was Going to St Ives to the fantasia playlist. 
118,118,put paula abdul on Musica Espanola 2017
119,119,Add the entity Por una cabeza to my playlist Forever Alone
120,120,Add track to Afternoon Train Ride
121,121,Add silver apples to teh sin estres playlist.
122,122,Please add this song to my llegando a casa palylist
123,123,Add the song to the martin garrix show  playlist
124,124,Add more David Wolfenberger to my Duetos playlist. 
125,125,I want to add Club Mix to the playlist with the title 50 Clasicos
126,126,add Eric Bibb to Country Coffeehouse
127,127,Add gregg bissonette to my US Latin Top 50 playlist
128,128,add track 70s smash hits to my
129,129,add this album to my Blues playlist
130,130,I want this song on the playlist called chill vibes
131,131,Add this adam clayton tune to sxsw fresh playlist
132,132,add this teddy charles album to this is pavarotti my playlist 
133,133,Can you add confessions to my playlist called Clasica
134,134,Please add tobymac's song onto the indiespensables playlist.
135,135,add an album to playlist Emily Dickinson
136,136,Add Buddy DeSylva to my this is j balvin playlist
137,137,ad Czarna dziewczyna to instrumental madness playlist
138,138,I want to add this song to my Infantil playlist
139,139,add vera to my 80's Jam Session playlist
140,140,add A Compilation of Warped Music II to workout twerkout playlist
141,141,Add a track to my list Made in Puerto Rico
142,142,add this track to my epic wall of sound playlist
143,143,add Michael LePond to electronic bliss
144,144,Add angela au to the playlist radar latino
145,145,add artist abdel halim hafez to my conexiones playlist
146,146,Add track  to this is puccini
147,147,I need to add a song to my lo que suena new york playlist.
148,148,Add this artist to this is Rosana
149,149,add Joelia Savitsjeva in 88 keys
150,150,add alain caron to my travelling playlist
151,151,Add the r l burnside album to my Nothing But A Party R&B playlist
152,152,add Steve Jordan to inez's tgif
153,153,Add to my playlist all funked up this track
154,154,add satisfied to my Rockin' Vibes playlist
155,155,add this artist named Prince to the playlist all new all now
156,156,add billy strayhorn to my highway 61 playlist
157,157,Add ramble on to Halloween Teens
158,158,add this song to Rock Party
159,159,I want to add lady maisry to my playlist lo que suena new york
160,160,I want to add an album to noreen's endorphin rush playlist. 
161,161,Add Famous to my playlist lo que suena new york
162,162,Add shawn camp to my soulful disco playlist. 
163,163,add bonobo to queen playlis
164,164,add hold my liquor to electroNOW
165,165,Add Tobias Sammet to my bring back the 90s list
166,166,Add Jack Be Nimble to my reggae bombastic list
167,167,add jan smit in endorphin rush
168,168,add Rupee to my Ultra Metal playlist
169,169,Please add Liberty Forever to the road trip playlist.
170,170,Add gene clark to diann's chill out list
171,171,Put another track in my electronica & dance playlist. 
172,172,add the tune to the Indie Workout playlist
173,173,Add david henry hwang to the This Is Nicky Jam playlist.
174,174,add this Jane Olivor track to my The Sleep Machine Waterscapes
175,175,I would like this artist on drum & breaks.
176,176,Include dschiwan gasparjan in beth's rare groove playlist. 
177,177,I'd like to add the artist Jesper Kyd onto my fresh electronic playlist.
178,178,add Joplin in Concert to my feel good dinner
179,179,add Harry J to my dubstep dangles dirty
180,180,add Partners in Crime to joann's Lo Que Suena Los Angeles
181,181,add this song onto hip hop gaming playlist
182,182,Add this artist to my This Is Philip Glass playlist
183,183,I want to put look to you on the playlist named 80s Classic Hits
184,184,add No Secrets to power gaming playlist
185,185,Add track to Hit Remix
186,186,add ali lohan songs in Club Hits
187,187,Add this tune to retrowave outrun
188,188,Add a track from The Edge to my funk soul disco playlist
189,189,add hold tight to my throwback party
190,190,put Do You Love Me on my acoustic soul playlist
191,191,Add the name The 3rd World to the playlist Rock Me UP
192,192,Add this tune to my playlist named Women of Fresh Finds
193,193,add tune to atmospheric black metal playlist
194,194,Add sammy hagar to Ultra Metal
195,195,Add 2120 south michigan avenue to my laundry playlist
196,196,Add Turk to the deep house playlist
197,197,Add the name Not Fade Away to the playlist the midnight hour
198,198,add the artist to the 90's Baby Makers playlist
199,199,Add parempi mies to the Cafe con Leche playlist. 
200,200,Place this tune onto my dinner for 2 playlist.
201,201,Add Exit to i love my 80's rollerdisco list
