,total_string
0,Add another song to the Cita Romantica playlist. 
1,add clem burke in my playlist Pre-Party R&B Jams
2,Add Live from Aragon Ballroom to Trapeo
3,add Unite and Win to my night out
4,Add track to my Digster Future Hits
5,add the piano bar to my Cindy Wilson
6,Add Spanish Harlem Incident to cleaning the house
7,add The Greyest of Blue Skies in Indie Espanol my playlist
8,Add the name kids in the street to the plylist New Indie Mix
9,add album radar latino
10,Add Tranquility to the Latin Pop Rising playlist. 
11,Add d flame to the Dcode2016 playlist.
12,Add album to my fairy tales
13,I need another artist in the New Indie Mix playlist. 
14,Add to playlist i love my neo soul the name national treasure book of secrets
15,Add the fire and the wind to my Digster Future Hits playlist.
16,add Caleigh Peters to my women of country list
17,add children of telepathic experiences to the playlist named baladas romanticas
18,add 9th Inning to my bossa nova dinner playlist
19,I need another tune in my legendary guitar solos playlist. 
20,Add Slimm Cutta Calhoun to my this is prince playlist. 
21,Add Always to dena's Baroque 50 Spotify Picks playlist. 
22,add song to Sleepytime
23,Add an album to my list La Mejor Musica Dance 2017
24,"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist"
25,Add the album to the psychedelic rock playlist 
26,Can you add Esquivando charcos to my playlist entitled the piano bar
27,Add wiktor coj to the Sleep playlist.
28,Incorporate time warp into my fairy tales playlist. 
29,add this MakSim tune to Trad Folk
30,add tune to my playlist eletro br
31,Add this tune to my Dinnertime Acoustics list
32,add monsters this is prince playlist
33,add a tune in Chill Vibes
34,Can you add a track to my Spain Top 50 playlist
35,put this album by Mike Tramp on Deathcore
36,Add ross the boss to laurie's listas de exitos list
37,Add some Beatmaster V to the This Is Nicky Jam playlist. 
38,add paulinho da viola to my Radio Rock song list
39,add Eef Barzelay to my Country Coffeehouse
40,Add this artist to queen playlist
41,add Olga Souza to virginia's femme fatale playlist
42,Add an album by m g sreekumar to my laidback acoustic playlist.
43,Add this album to my spotify orchestra cello playlist
44,I want to put goldy mcjohn on my Rock Party playlist
45,Add this song to noreen's fresh finds six strings
46,A Shawnna to the Warm Hearts Feel Good playlist.
47,Add this tune to Rock Save The Queen
48,Add Firehouse to my acoustic soul list.
49,add this david cole track to my Totally Stress Free
50,Add Progress to my clasica para todos playlist. 
51,Add the artist  tony thompson to my canta en la ducha playlist
52,Add the artist to my This Is Mozart playlist.
53,Add this track to downtempo beats
54,Add Quicksand to my valentine's day love playlist
55,Add feel the passion to my this is kudai playlist. 
56,add this song to my us latin top 50 playlist
57,Put this artist in Pachangueo Total
58,add vl mike to my Dcode2016 playlist
59,add how to my week end playlist
60,Add Norma Jean to my pure rock & roll playlist.
61,Add Kirk Hammett to Calm Down
62,Add On with the Show to my Beast Mode playlist
63,add kjetil vidar haraldstad to listas de exitos
64,can you add xanadu to Latin Alternative Music
65,add this track to krystal's piano 100
66,Can you put this track onto the playlist the selektor?
67,my jazz for loving couples needs more push the button
68,add the album the martin garrix show to my playlist
69,add gina schock to workout twerkout
70,Add this tune to cristina's endorphin rush playlist
71,add this tune to my It's a Southern Thing playlist
72,add Ik Tara to laundry playlst
73,Add this tune to This Is Nicky Jam
74,Can you add something by the artist Paul Cargnello to my Chill Tracks playlist
75,add Runaljod gap var Ginnunga to ashlee's playlist titled forever country
76,Put The Orange and the Green on Los 40 Radio exitos
